Timestamp,SystemCodeNumber,Latitude,Longitude,Capacity,Occupancy,QueueLength,TrafficLevel,VehicleWeight,IsSpecialDay,OccupancyRate
2016-04-10 07:59:00,BHMBCCMKT01,26.14453614,91.73617216,577,61,1,0,1.0,0,0.106
2016-04-10 08:25:00,BHMBCCMKT01,26.14453614,91.73617216,577,64,1,0,1.0,0,0.111
2016-04-10 08:59:00,BHMBCCMKT01,26.14453614,91.73617216,577,80,2,0,1.0,0,0.139
2016-04-10 09:32:00,BHMBCCMKT01,26.14453614,91.73617216,577,107,2,0,1.0,0,0.185
2016-04-10 09:59:00,BHMBCCMKT01,26.14453614,91.73617216,577,150,2,0,0.5,0,0.26
2016-04-10 10:26:00,BHMBCCMKT01,26.14453614,91.73617216,577,177,3,0,1.0,0,0.307
2016-04-10 10:59:00,BHMBCCMKT01,26.14453614,91.73617216,577,219,6,2,1.5,0,0.38
2016-04-10 11:25:00,BHMBCCMKT01,26.14453614,91.73617216,577,247,5,0,1.0,0,0.428
2016-04-10 11:59:00,BHMBCCMKT01,26.14453614,91.73617216,577,259,5,0,1.0,0,0.449
2016-04-10 12:29:00,BHMBCCMKT01,26.14453614,91.73617216,577,266,8,2,0.5,0,0.461
2016-04-10 13:02:00,BHMBCCMKT01,26.14453614,91.73617216,577,269,7,2,1.0,0,0.466
2016-04-10 13:29:00,BHMBCCMKT01,26.14453614,91.73617216,577,263,7,2,1.0,0,0.456
2016-04-10 14:02:00,BHMBCCMKT01,26.14453614,91.73617216,577,238,5,2,1.0,0,0.412
2016-04-10 14:29:00,BHMBCCMKT01,26.14453614,91.73617216,577,215,3,0,1.5,0,0.373
2016-04-10 14:57:00,BHMBCCMKT01,26.14453614,91.73617216,577,192,3,0,0.5,0,0.333
2016-04-10 15:30:00,BHMBCCMKT01,26.14453614,91.73617216,577,165,2,0,1.0,0,0.286
2016-04-10 16:04:00,BHMBCCMKT01,26.14453614,91.73617216,577,162,1,0,0.5,0,0.281
2016-04-10 16:31:00,BHMBCCMKT01,26.14453614,91.73617216,577,143,2,0,1.0,0,0.248
2016-05-10 07:57:00,BHMBCCMKT01,26.14453614,91.73617216,577,54,1,0,1.0,0,0.094
2016-05-10 08:30:00,BHMBCCMKT01,26.14453614,91.73617216,577,59,1,0,1.0,0,0.102
2016-05-10 09:04:00,BHMBCCMKT01,26.14453614,91.73617216,577,71,2,0,1.0,0,0.123
2016-05-10 09:30:00,BHMBCCMKT01,26.14453614,91.73617216,577,83,2,0,1.0,0,0.144
2016-05-10 10:04:00,BHMBCCMKT01,26.14453614,91.73617216,577,114,3,0,1.0,0,0.198
2016-05-10 10:30:00,BHMBCCMKT01,26.14453614,91.73617216,577,128,4,2,1.5,0,0.222
2016-05-10 11:04:00,BHMBCCMKT01,26.14453614,91.73617216,577,148,4,0,0.5,0,0.256
2016-05-10 11:30:00,BHMBCCMKT01,26.14453614,91.73617216,577,162,4,0,1.0,0,0.281
2016-05-10 12:04:00,BHMBCCMKT01,26.14453614,91.73617216,577,178,6,2,1.0,0,0.308
2016-05-10 12:30:00,BHMBCCMKT01,26.14453614,91.73617216,577,183,7,2,1.0,0,0.317
2016-05-10 12:57:00,BHMBCCMKT01,26.14453614,91.73617216,577,175,7,2,1.0,0,0.303
2016-05-10 13:30:00,BHMBCCMKT01,26.14453614,91.73617216,577,179,6,2,1.5,0,0.31
2016-05-10 13:57:00,BHMBCCMKT01,26.14453614,91.73617216,577,174,4,0,1.0,0,0.302
2016-05-10 14:30:00,BHMBCCMKT01,26.14453614,91.73617216,577,158,5,2,1.0,0,0.274
2016-05-10 14:57:00,BHMBCCMKT01,26.14453614,91.73617216,577,145,3,0,1.0,0,0.251
2016-05-10 15:30:00,BHMBCCMKT01,26.14453614,91.73617216,577,129,2,0,1.0,0,0.224
2016-05-10 16:04:00,BHMBCCMKT01,26.14453614,91.73617216,577,121,2,0,1.0,0,0.21
2016-05-10 16:30:00,BHMBCCMKT01,26.14453614,91.73617216,577,114,1,0,0.5,0,0.198
2016-06-10 07:57:00,BHMBCCMKT01,26.14453614,91.73617216,577,58,1,0,1.0,0,0.101
2016-06-10 08:30:00,BHMBCCMKT01,26.14453614,91.73617216,577,63,1,0,1.0,0,0.109
2016-06-10 08:57:00,BHMBCCMKT01,26.14453614,91.73617216,577,70,1,0,1.0,0,0.121
2016-06-10 09:30:00,BHMBCCMKT01,26.14453614,91.73617216,577,95,2,0,1.0,0,0.165
2016-06-10 10:03:00,BHMBCCMKT01,26.14453614,91.73617216,577,135,3,0,1.0,0,0.234
2016-06-10 10:30:00,BHMBCCMKT01,26.14453614,91.73617216,577,160,3,0,1.0,0,0.277
2016-06-10 10:57:00,BHMBCCMKT01,26.14453614,91.73617216,577,177,3,0,1.0,0,0.307
2016-06-10 11:30:00,BHMBCCMKT01,26.14453614,91.73617216,577,191,4,0,1.0,0,0.331
2016-06-10 12:04:00,BHMBCCMKT01,26.14453614,91.73617216,577,199,7,2,1.0,0,0.345
2016-06-10 12:30:00,BHMBCCMKT01,26.14453614,91.73617216,577,206,7,2,1.0,0,0.357
2016-06-10 12:57:00,BHMBCCMKT01,26.14453614,91.73617216,577,198,5,0,1.0,0,0.343
2016-06-10 13:30:00,BHMBCCMKT01,26.14453614,91.73617216,577,208,7,2,0.5,0,0.36
2016-06-10 13:57:00,BHMBCCMKT01,26.14453614,91.73617216,577,200,5,0,1.0,0,0.347
2016-06-10 14:30:00,BHMBCCMKT01,26.14453614,91.73617216,577,175,3,0,1.0,0,0.303
